timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,consensus_dbta,deadline_pressure,3
29.000,task_002,activated,,consensus_dbta,deadline_pressure,3
29.000,task_003,activated,,consensus_dbta,deadline_pressure,3
29.000,task_004,activated,,consensus_dbta,deadline_pressure,3
29.000,task_005,activated,,consensus_dbta,deadline_pressure,3
29.000,task_006,activated,,consensus_dbta,deadline_pressure,3
29.000,task_007,activated,,consensus_dbta,deadline_pressure,3
29.000,task_008,activated,,consensus_dbta,deadline_pressure,3
29.000,task_009,activated,,consensus_dbta,deadline_pressure,3
29.000,task_010,activated,,consensus_dbta,deadline_pressure,3
29.000,task_011,activated,,consensus_dbta,deadline_pressure,3
29.000,task_012,activated,,consensus_dbta,deadline_pressure,3
29.000,task_013,activated,,consensus_dbta,deadline_pressure,3
29.000,task_014,activated,,consensus_dbta,deadline_pressure,3
29.000,task_015,activated,,consensus_dbta,deadline_pressure,3
29.000,task_016,activated,,consensus_dbta,deadline_pressure,3
29.000,task_017,activated,,consensus_dbta,deadline_pressure,3
29.000,task_018,activated,,consensus_dbta,deadline_pressure,3
29.000,task_019,activated,,consensus_dbta,deadline_pressure,3
29.000,task_020,activated,,consensus_dbta,deadline_pressure,3
29.000,task_021,activated,,consensus_dbta,deadline_pressure,3
29.000,task_022,activated,,consensus_dbta,deadline_pressure,3
29.000,task_023,activated,,consensus_dbta,deadline_pressure,3
29.000,task_024,activated,,consensus_dbta,deadline_pressure,3
29.000,task_025,activated,,consensus_dbta,deadline_pressure,3
30.000,task_024,assigned,robot_1,consensus_dbta,deadline_pressure,3
30.000,task_017,assigned,robot_1,consensus_dbta,deadline_pressure,3
30.000,task_007,assigned,robot_1,consensus_dbta,deadline_pressure,3
30.000,task_022,assigned,robot_1,consensus_dbta,deadline_pressure,3
30.000,task_006,assigned,robot_1,consensus_dbta,deadline_pressure,3
30.000,task_011,assigned,robot_2,consensus_dbta,deadline_pressure,3
30.000,task_018,assigned,robot_2,consensus_dbta,deadline_pressure,3
30.000,task_010,assigned,robot_2,consensus_dbta,deadline_pressure,3
30.000,task_021,assigned,robot_2,consensus_dbta,deadline_pressure,3
30.000,task_004,assigned,robot_2,consensus_dbta,deadline_pressure,3
30.000,task_025,assigned,robot_3,consensus_dbta,deadline_pressure,3
30.000,task_001,assigned,robot_3,consensus_dbta,deadline_pressure,3
30.000,task_013,assigned,robot_3,consensus_dbta,deadline_pressure,3
30.000,task_012,assigned,robot_3,consensus_dbta,deadline_pressure,3
30.000,task_015,assigned,robot_3,consensus_dbta,deadline_pressure,3
30.000,task_008,assigned,robot_4,consensus_dbta,deadline_pressure,3
30.000,task_002,assigned,robot_4,consensus_dbta,deadline_pressure,3
30.000,task_023,assigned,robot_4,consensus_dbta,deadline_pressure,3
30.000,task_005,assigned,robot_4,consensus_dbta,deadline_pressure,3
30.000,task_009,assigned,robot_4,consensus_dbta,deadline_pressure,3
30.000,task_003,assigned,robot_5,consensus_dbta,deadline_pressure,3
30.000,task_014,assigned,robot_5,consensus_dbta,deadline_pressure,3
30.000,task_019,assigned,robot_5,consensus_dbta,deadline_pressure,3
30.000,task_020,assigned,robot_5,consensus_dbta,deadline_pressure,3
30.000,task_016,assigned,robot_5,consensus_dbta,deadline_pressure,3
40.133,task_025,completed,robot_3,consensus_dbta,deadline_pressure,3
45.348,task_008,completed,robot_4,consensus_dbta,deadline_pressure,3
46.449,task_003,completed,robot_5,consensus_dbta,deadline_pressure,3
49.102,task_024,completed,robot_1,consensus_dbta,deadline_pressure,3
53.179,task_001,completed,robot_3,consensus_dbta,deadline_pressure,3
59.641,task_002,completed,robot_4,consensus_dbta,deadline_pressure,3
61.485,task_017,completed,robot_1,consensus_dbta,deadline_pressure,3
67.837,task_011,completed,robot_2,consensus_dbta,deadline_pressure,3
69.953,task_007,completed,robot_1,consensus_dbta,deadline_pressure,3
71.862,task_023,completed,robot_4,consensus_dbta,deadline_pressure,3
79.756,task_022,completed,robot_1,consensus_dbta,deadline_pressure,3
90.074,task_013,completed,robot_3,consensus_dbta,deadline_pressure,3
94.581,task_014,completed,robot_5,consensus_dbta,deadline_pressure,3
97.478,task_012,completed,robot_3,consensus_dbta,deadline_pressure,3
101.666,task_019,completed,robot_5,consensus_dbta,deadline_pressure,3
107.541,task_005,completed,robot_4,consensus_dbta,deadline_pressure,3
108.855,task_018,completed,robot_2,consensus_dbta,deadline_pressure,3
114.554,task_015,completed,robot_3,consensus_dbta,deadline_pressure,3
121.356,task_006,completed,robot_1,consensus_dbta,deadline_pressure,3
122.527,task_010,completed,robot_2,consensus_dbta,deadline_pressure,3
137.570,task_021,completed,robot_2,consensus_dbta,deadline_pressure,3
143.800,task_020,completed,robot_5,consensus_dbta,deadline_pressure,3
145.947,task_004,completed,robot_2,consensus_dbta,deadline_pressure,3
146.372,task_009,completed,robot_4,consensus_dbta,deadline_pressure,3
152.680,task_016,completed,robot_5,consensus_dbta,deadline_pressure,3
