task_id,x,y,priority,strategy,scenario,seed
task_001,-5.000,0.000,3,consensus_dbta,deadline_pressure,3
task_002,-3.000,2.000,2,consensus_dbta,deadline_pressure,3
task_003,-6.000,6.000,1,consensus_dbta,deadline_pressure,3
task_004,6.000,-6.000,3,consensus_dbta,deadline_pressure,3
task_005,2.000,7.000,2,consensus_dbta,deadline_pressure,3
task_006,6.000,6.000,2,consensus_dbta,deadline_pressure,3
task_007,5.000,-2.000,3,consensus_dbta,deadline_pressure,3
task_008,0.000,2.000,2,consensus_dbta,deadline_pressure,3
task_009,6.000,1.500,1,consensus_dbta,deadline_pressure,3
task_010,0.000,-6.000,1,consensus_dbta,deadline_pressure,3
task_011,1.000,6.000,2,consensus_dbta,deadline_pressure,3
task_012,0.000,7.000,2,consensus_dbta,deadline_pressure,3
task_013,-2.000,7.000,2,consensus_dbta,deadline_pressure,3
task_014,-5.000,-2.000,1,consensus_dbta,deadline_pressure,3
task_015,4.000,6.000,1,consensus_dbta,deadline_pressure,3
task_016,-6.000,-6.000,3,consensus_dbta,deadline_pressure,3
task_017,3.000,-2.000,2,consensus_dbta,deadline_pressure,3
task_018,2.000,-4.000,3,consensus_dbta,deadline_pressure,3
task_019,-6.000,-1.500,3,consensus_dbta,deadline_pressure,3
task_020,-6.000,-4.000,1,consensus_dbta,deadline_pressure,3
task_021,4.000,-6.000,3,consensus_dbta,deadline_pressure,3
task_022,5.000,0.000,2,consensus_dbta,deadline_pressure,3
task_023,-5.000,2.000,3,consensus_dbta,deadline_pressure,3
task_024,0.000,-2.000,3,consensus_dbta,deadline_pressure,3
task_025,-3.000,-2.000,2,consensus_dbta,deadline_pressure,3
